sender_user_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,segment
U00045,2024-11-03 17:42:28,3,29890,57,3,2,1,Casual
U00046,2024-11-11 17:57:59,2,38207,49,3,2,2,Casual
U00047,2024-09-28 23:38:32,2,361935,93,2,2,4,Dormant
U00048,2024-11-08 09:27:09,4,344503,52,3,3,4,Loyal Customers
U00049,2024-01-18 21:47:05,1,296817,347,1,1,4,Dormant
U00050,2024-11-12 15:05:22,5,192270,48,3,3,3,Loyal Customers
U00051,2024-10-05 08:17:55,2,126997,86,2,2,3,Dormant
U00052,2024-09-17 08:22:38,1,15273,104,2,1,1,Dormant
U00053,2024-08-01 17:42:17,2,76177,151,2,2,2,Dormant
U00054,2024-11-29 10:16:34,2,35601,31,4,2,2,Potential Loyalists
U00055,2024-12-05 22:52:05,4,424368,25,4,3,4,Champions
U00056,2024-10-09 16:50:19,2,112373,82,2,2,2,Dormant
U00057,2024-08-25 22:33:26,4,80165,127,2,3,2,At Risk
U00058,2024-09-24 20:32:25,2,84681,97,2,2,2,Dormant
U00059,2024-10-14 19:10:16,3,163430,77,3,2,3,Casual
U00060,2024-12-08 12:59:59,2,61337,22,4,2,2,Potential Loyalists
U00061,2024-11-28 08:50:09,1,138817,32,4,1,3,New Customers
U00062,2024-08-04 11:04:39,4,91715,148,2,3,2,At Risk
U00063,2024-10-11 23:01:01,2,26796,80,2,2,1,Dormant
U00064,2024-08-29 23:34:32,6,267248,123,2,3,4,Can't Lose Them
U00065,2024-08-12 09:03:08,1,5267,140,2,1,1,Dormant
U00066,2024-06-01 08:41:54,3,436860,212,1,2,4,Dormant
U00067,2024-11-04 22:46:08,2,41030,56,3,2,2,Casual
U00068,2024-12-28 16:08:54,5,194745,2,4,3,3,Champions
U00069,2024-01-01 12:50:02,1,41618,364,1,1,2,Dormant
U00070,2024-10-29 20:36:19,3,422198,62,3,2,4,Casual
U00071,2024-12-09 10:23:58,3,400022,21,4,2,4,Potential Loyalists
U00072,2024-11-10 13:00:24,3,189196,50,3,2,3,Casual
U00074,2024-03-17 23:13:51,1,77638,288,1,1,2,Dormant
U00075,2024-12-28 13:39:33,5,51077,2,4,3,2,Champions
U00076,2024-09-20 15:58:02,8,1049905,101,2,4,4,Can't Lose Them
U00077,2024-11-02 15:13:39,3,29175,58,3,2,1,Casual
U00078,2024-09-10 10:15:39,2,10409,111,2,2,1,Dormant
U00080,2024-12-07 16:38:44,3,618347,23,4,2,4,Potential Loyalists
U00081,2024-05-24 09:35:30,2,66125,220,1,2,2,Dormant
U00082,2024-12-09 14:51:35,2,80029,21,4,2,2,Potential Loyalists
U00083,2024-05-09 13:58:56,1,3640,235,1,1,1,Dormant
U00084,2024-10-29 21:12:29,1,262824,62,3,1,4,Casual
U00085,2024-06-26 16:22:54,3,36963,187,1,2,2,Dormant
U00086,2024-12-26 08:56:32,3,89076,4,4,2,2,Potential Loyalists
U00087,2024-08-26 18:30:11,3,240546,126,2,2,3,Dormant
U00088,2024-08-27 16:31:55,5,103126,125,2,3,2,At Risk
U00089,2024-11-11 16:47:51,2,19281,49,3,2,1,Casual
U00090,2024-08-15 19:13:40,2,301159,137,2,2,4,Dormant
U00091,2024-12-01 11:57:55,4,206404,29,4,3,3,Champions
U00092,2024-07-30 12:28:07,1,2895,153,2,1,1,Dormant
U00093,2024-09-26 13:35:36,3,135754,95,2,2,3,Dormant
U00094,2024-06-30 13:02:53,2,25037,183,1,2,1,Dormant
U00095,2024-11-11 22:46:57,1,12906,49,3,1,1,Casual
U00096,2024-12-26 11:52:25,4,119671,4,4,3,3,Champions
U00097,2024-04-11 11:08:28,1,17085,263,1,1,1,Dormant
U00098,2024-10-05 18:35:38,4,270268,86,2,3,4,Can't Lose Them
U00099,2024-09-18 19:04:42,3,154156,103,2,2,3,Dormant
U00100,2024-11-12 12:51:54,2,111049,48,3,2,2,Casual
U00101,2024-10-25 12:41:31,1,3437,66,3,1,1,Casual
U00102,2024-08-03 14:41:27,1,104097,149,2,1,2,Dormant
U00103,2024-08-13 13:59:56,1,21368,139,2,1,1,Dormant
U00104,2024-10-29 08:29:43,2,76950,62,3,2,2,Casual
U00105,2024-09-15 09:00:04,1,65839,106,2,1,2,Dormant
U00106,2024-12-03 16:43:26,6,937123,27,4,3,4,Champions
U00107,2024-03-19 17:11:34,2,65477,286,1,2,2,Dormant
U00108,2024-11-05 09:48:24,2,297198,55,3,2,4,Casual
U00109,2024-11-03 09:57:54,2,174778,57,3,2,3,Casual
U00110,2024-07-17 08:45:59,2,24292,166,2,2,1,Dormant
U00111,2024-11-09 19:49:12,6,326879,51,3,3,4,Loyal Customers
U00112,2024-05-20 14:30:13,1,7686,224,1,1,1,Dormant
U00113,2024-12-21 21:54:44,6,232643,9,4,3,3,Champions
U00114,2024-06-12 16:44:17,3,383626,201,1,2,4,Dormant
U00115,2024-10-02 16:23:49,5,145836,89,2,3,3,At Risk
U00117,2024-07-01 21:36:20,2,71022,182,1,2,2,Dormant
U00118,2024-12-15 18:22:45,3,103071,15,4,2,2,Potential Loyalists
U00119,2024-11-05 17:58:44,2,221549,55,3,2,3,Casual
U00120,2024-09-19 08:19:16,2,21408,102,2,2,1,Dormant
U00122,2024-12-26 08:14:04,3,136878,4,4,2,3,Potential Loyalists
U00123,2024-05-15 09:10:12,2,74554,229,1,2,2,Dormant
U00124,2024-10-08 19:06:25,1,248970,83,2,1,3,Dormant
U00125,2024-10-05 13:21:53,2,466363,86,2,2,4,Dormant
U00126,2024-11-05 16:47:09,4,454502,55,3,3,4,Loyal Customers
U00127,2024-11-12 08:14:44,2,134710,48,3,2,3,Casual
U00128,2024-05-28 10:35:08,2,35828,216,1,2,2,Dormant
U00129,2024-12-06 21:34:15,1,20963,24,4,1,1,New Customers
U00130,2024-10-10 22:04:43,3,191453,81,2,2,3,Dormant
U00131,2024-05-06 18:44:37,1,40566,238,1,1,2,Dormant
U00132,2024-05-08 19:00:23,1,2729,236,1,1,1,Dormant
U00133,2024-11-10 15:48:24,2,25006,50,3,2,1,Casual
U00134,2024-11-10 09:11:55,1,6669,50,3,1,1,Casual
U00135,2024-11-06 14:45:22,1,32416,54,3,1,1,Casual
U00136,2024-02-25 10:34:43,2,283268,309,1,2,4,Dormant
U00138,2024-12-06 11:03:36,3,32706,24,4,2,1,Potential Loyalists
U00139,2024-11-08 11:17:42,6,172065,52,3,3,3,Loyal Customers
U00141,2024-11-11 23:23:16,3,194175,49,3,2,3,Casual
U00142,2024-05-29 08:04:48,1,10553,215,1,1,1,Dormant
U00143,2024-01-29 16:37:10,1,52868,336,1,1,2,Dormant
U00144,2024-12-22 12:48:53,6,498309,8,4,3,4,Champions
U00145,2024-12-17 16:23:05,2,7724,13,4,2,1,Potential Loyalists
U00147,2024-02-04 18:02:07,1,13364,330,1,1,1,Dormant
U00148,2024-09-28 11:26:30,3,247994,93,2,2,3,Dormant
U00149,2024-11-11 11:50:54,2,167755,49,3,2,3,Casual
U00150,2024-10-02 18:18:18,2,44176,89,2,2,2,Dormant
U00151,2024-12-27 13:12:35,3,257871,3,4,2,4,Potential Loyalists
U00152,2024-12-17 20:36:02,4,293156,13,4,3,4,Champions
U00153,2024-12-22 17:15:18,5,372108,8,4,3,4,Champions
U00154,2024-10-01 10:31:04,3,280957,90,2,2,4,Dormant
U00155,2024-05-29 12:33:02,1,149347,215,1,1,3,Dormant
U00156,2024-10-05 19:08:19,2,23379,86,2,2,1,Dormant
U00157,2024-06-26 20:47:18,2,27805,187,1,2,1,Dormant
U00158,2024-10-05 20:02:48,1,97031,86,2,1,2,Dormant
U00159,2024-09-06 14:36:30,3,877124,115,2,2,4,Dormant
U00160,2024-11-21 14:10:08,7,399899,39,4,4,4,Champions
U00161,2024-12-01 22:05:47,5,606799,29,4,3,4,Champions
U00162,2024-11-26 19:35:20,2,323977,34,4,2,4,Potential Loyalists
U00163,2024-09-15 18:43:52,1,28216,106,2,1,1,Dormant
U00165,2024-12-21 13:02:28,5,733268,9,4,3,4,Champions
U00166,2024-06-15 10:49:30,4,314647,198,1,3,4,Can't Lose Them
U00167,2024-10-25 19:03:42,2,11529,66,3,2,1,Casual
U00168,2024-11-14 16:58:13,3,103715,46,3,2,2,Casual
U00169,2024-09-17 20:26:22,2,147628,104,2,2,3,Dormant
U00170,2024-12-09 16:02:32,3,518552,21,4,2,4,Potential Loyalists
U00171,2024-12-22 11:51:55,5,125376,8,4,3,3,Champions
U00172,2024-04-30 22:21:28,1,256939,244,1,1,4,Dormant
U00173,2024-09-23 15:36:13,1,100501,98,2,1,2,Dormant
U00174,2024-09-30 20:27:14,2,254043,91,2,2,3,Dormant
U00176,2024-12-12 14:21:01,3,466700,18,4,2,4,Potential Loyalists
U00177,2024-05-07 23:18:46,1,12293,237,1,1,1,Dormant
U00178,2024-11-03 17:14:37,3,246310,57,3,2,3,Casual
U00179,2024-11-18 23:29:46,8,272382,42,4,4,4,Champions
U00180,2024-12-30 18:52:29,3,177508,0,4,2,3,Potential Loyalists
U00181,2024-11-10 22:02:19,4,298920,50,3,3,4,Loyal Customers
U00182,2024-09-23 20:43:50,6,283411,98,2,3,4,Can't Lose Them
U00183,2024-11-09 23:53:26,1,25131,51,3,1,1,Casual
U00184,2024-12-18 22:23:30,3,27337,12,4,2,1,Potential Loyalists
U00185,2024-11-11 15:16:00,1,4972,49,3,1,1,Casual
U00186,2024-11-12 10:11:26,3,187657,48,3,2,3,Casual
U00188,2024-08-29 21:20:57,3,39810,123,2,2,2,Dormant
U00189,2024-05-28 11:29:41,1,9459,216,1,1,1,Dormant
U00190,2024-02-28 17:15:41,2,77836,306,1,2,2,Dormant
U00191,2024-06-27 21:53:37,3,122274,186,1,2,3,Dormant
U00192,2024-12-10 17:15:25,2,30998,20,4,2,1,Potential Loyalists
U00193,2024-08-24 11:41:18,1,7749,128,2,1,1,Dormant
U00194,2024-08-21 16:29:25,4,203706,131,2,3,3,At Risk
U00195,2024-07-16 15:23:12,2,195062,167,2,2,3,Dormant
U00196,2024-08-29 21:30:49,3,73332,123,2,2,2,Dormant
U00197,2024-03-15 21:18:15,1,2600,290,1,1,1,Dormant
U00198,2024-12-19 14:32:23,2,56111,11,4,2,2,Potential Loyalists
U00199,2024-11-07 21:47:01,2,7565,53,3,2,1,Casual
U00200,2024-12-15 21:46:09,4,497003,15,4,3,4,Champions
U00201,2024-12-05 09:11:18,3,227496,25,4,2,3,Potential Loyalists
U00203,2024-02-04 20:03:22,2,198171,330,1,2,3,Dormant
U00204,2024-11-07 17:10:48,3,372122,53,3,2,4,Casual
U00205,2024-09-18 11:06:44,2,206824,103,2,2,3,Dormant
U00206,2024-11-08 16:06:12,2,75868,52,3,2,2,Casual
U00207,2024-12-22 14:56:49,1,299963,8,4,1,4,New Customers
U00208,2024-01-29 13:52:08,1,7782,336,1,1,1,Dormant
U00209,2024-07-29 11:37:20,2,47039,154,2,2,2,Dormant
U00211,2024-01-28 21:49:05,1,49167,337,1,1,2,Dormant
U00212,2024-11-08 13:34:47,3,71370,52,3,2,2,Casual
U00213,2024-08-01 15:37:52,2,56199,151,2,2,2,Dormant
U00214,2024-11-14 09:14:42,2,13585,46,3,2,1,Casual
U00215,2024-09-04 18:21:14,2,99122,117,2,2,2,Dormant
U00216,2024-11-04 17:43:09,1,30523,56,3,1,1,Casual
U00217,2024-12-25 17:34:22,3,44076,5,4,2,2,Potential Loyalists
U00219,2024-06-10 20:32:50,1,202499,203,1,1,3,Dormant
U00220,2024-06-17 12:35:28,1,181083,196,1,1,3,Dormant
U00221,2024-10-25 21:30:21,4,196745,66,3,3,3,Loyal Customers
U00222,2024-03-02 16:47:49,1,154923,303,1,1,3,Dormant
U00224,2024-09-11 13:07:27,3,111142,110,2,2,2,Dormant
U00225,2024-07-10 23:36:42,3,44099,173,1,2,2,Dormant
U00226,2024-09-29 20:41:55,2,160100,92,2,2,3,Dormant
U00227,2024-02-02 15:27:50,2,212112,332,1,2,3,Dormant
U00228,2024-10-02 11:42:46,2,630815,89,2,2,4,Dormant
U00229,2024-03-01 09:15:27,1,26312,304,1,1,1,Dormant
U00231,2024-09-29 23:24:51,2,188371,92,2,2,3,Dormant
U00232,2024-11-19 14:13:48,4,252474,41,4,3,3,Champions
U00234,2024-11-11 20:01:25,3,101671,49,3,2,2,Casual
U00235,2024-01-07 19:45:30,1,4801,358,1,1,1,Dormant
U00236,2024-08-12 13:14:38,3,158789,140,2,2,3,Dormant
U00237,2024-10-02 20:40:13,2,390064,89,2,2,4,Dormant
U00238,2024-07-06 23:55:58,1,3304,177,1,1,1,Dormant
U00239,2024-11-25 22:05:20,4,109175,35,4,3,2,Champions
U00240,2024-11-28 19:26:58,1,111289,32,4,1,2,New Customers
U00241,2024-05-24 08:21:49,3,86716,220,1,2,2,Dormant
U00243,2024-09-20 19:15:31,3,61533,101,2,2,2,Dormant
U00245,2024-12-28 14:57:54,4,196005,2,4,3,3,Champions
U00246,2024-12-23 22:55:24,3,356761,7,4,2,4,Potential Loyalists
U00247,2024-11-17 15:13:14,3,44910,43,3,2,2,Casual
U00248,2024-04-14 17:39:22,2,144861,260,1,2,3,Dormant
U00249,2024-06-26 19:26:30,3,32850,187,1,2,1,Dormant
U00250,2024-10-25 19:23:04,2,280467,66,3,2,4,Casual
U00252,2024-09-28 19:13:22,4,97971,93,2,3,2,At Risk
U00253,2024-09-05 11:57:50,3,60868,116,2,2,2,Dormant
U00254,2024-06-14 08:18:30,3,396205,199,1,2,4,Dormant
U00255,2024-05-10 18:30:27,2,136212,234,1,2,3,Dormant
U00256,2024-04-13 18:15:21,1,125462,261,1,1,3,Dormant
U00257,2024-12-15 08:34:42,5,565293,15,4,3,4,Champions
U00258,2024-11-17 19:49:55,5,309179,43,3,3,4,Loyal Customers
U00259,2024-01-29 16:28:47,1,13307,336,1,1,1,Dormant
U00260,2024-06-27 10:17:03,2,23797,186,1,2,1,Dormant
U00261,2024-03-27 23:46:59,1,8787,278,1,1,1,Dormant
U00262,2024-12-01 11:32:56,2,6919,29,4,2,1,Potential Loyalists
U00263,2024-08-02 16:11:34,1,4961,150,2,1,1,Dormant
U00264,2024-12-26 18:22:43,4,30901,4,4,3,1,Champions
U00265,2024-09-07 11:27:26,2,103608,114,2,2,2,Dormant
U00266,2024-11-06 22:44:22,4,185983,54,3,3,3,Loyal Customers
U00267,2024-07-19 22:53:32,4,163713,164,2,3,3,At Risk
U00268,2024-10-23 14:48:35,2,46946,68,3,2,2,Casual
U00269,2024-07-04 12:59:38,2,52092,179,1,2,2,Dormant
U00270,2024-12-20 12:48:55,3,168177,10,4,2,3,Potential Loyalists
U00271,2024-09-27 17:04:27,2,224477,94,2,2,3,Dormant
U00272,2024-11-11 19:09:04,1,16217,49,3,1,1,Casual
U00273,2024-10-10 17:50:54,3,104627,81,2,2,2,Dormant
U00274,2024-12-26 17:18:25,2,5674,4,4,2,1,Potential Loyalists
U00275,2024-09-16 17:49:26,2,22755,105,2,2,1,Dormant
U00276,2024-12-08 21:23:26,1,2539,22,4,1,1,New Customers
U00277,2024-08-08 13:16:40,1,226496,144,2,1,3,Dormant
U00278,2024-11-11 20:52:30,3,218651,49,3,2,3,Casual
U00279,2024-12-23 23:18:12,4,270946,7,4,3,4,Champions
U00280,2024-11-22 16:10:41,1,3786,38,4,1,1,New Customers
U00281,2024-12-24 21:12:12,2,122305,6,4,2,3,Potential Loyalists
U00282,2024-11-01 19:24:27,2,121528,59,3,2,3,Casual
U00283,2024-11-08 11:48:53,5,580045,52,3,3,4,Loyal Customers
U00284,2024-09-09 08:07:56,1,2416,112,2,1,1,Dormant
U00285,2024-11-29 16:25:15,3,185573,31,4,2,3,Potential Loyalists
U00286,2024-11-08 11:27:01,1,8160,52,3,1,1,Casual
U00287,2024-09-01 17:13:11,1,202764,120,2,1,3,Dormant
U00288,2024-07-03 08:56:42,2,132479,180,1,2,3,Dormant
U00289,2024-12-30 19:58:05,4,302357,0,4,3,4,Champions
U00290,2024-02-18 19:30:24,1,22631,316,1,1,1,Dormant
U00291,2024-03-13 16:11:16,1,11279,292,1,1,1,Dormant
U00292,2024-11-29 19:04:18,4,86942,31,4,3,2,Champions
U00293,2024-11-22 11:57:25,3,205424,38,4,2,3,Potential Loyalists
U00294,2024-10-02 20:53:24,2,65434,89,2,2,2,Dormant
U00295,2024-12-05 19:19:27,4,640037,25,4,3,4,Champions
U00296,2024-11-24 08:49:19,4,247812,36,4,3,3,Champions
U00297,2024-02-12 17:36:27,2,145029,322,1,2,3,Dormant
U00299,2024-06-27 23:35:52,3,413020,186,1,2,4,Dormant
U00300,2024-11-07 10:40:27,6,109918,53,3,3,2,Loyal Customers
U00301,2024-06-26 23:41:59,2,333708,187,1,2,4,Dormant
U00302,2024-10-04 14:29:03,1,165853,87,2,1,3,Dormant
U00303,2024-04-22 15:24:57,1,4006,252,1,1,1,Dormant
U00304,2024-11-15 14:29:41,6,592687,45,3,3,4,Loyal Customers
U00305,2024-12-24 15:01:44,3,40691,6,4,2,2,Potential Loyalists
U00306,2024-12-26 14:00:49,3,374976,4,4,2,4,Potential Loyalists
U00307,2024-11-05 08:42:41,1,13113,55,3,1,1,Casual
U00308,2024-05-06 20:01:44,2,190713,238,1,2,3,Dormant
U00309,2024-12-26 17:08:17,2,108822,4,4,2,2,Potential Loyalists
U00310,2024-03-04 08:37:26,1,23472,301,1,1,1,Dormant
U00311,2024-11-12 10:34:13,3,50543,48,3,2,2,Casual
U00312,2024-11-25 23:30:22,2,24910,35,4,2,1,Potential Loyalists
U00314,2024-05-01 10:16:08,1,5846,243,1,1,1,Dormant
U00315,2024-09-12 23:44:05,3,89781,109,2,2,2,Dormant
U00316,2024-12-28 20:34:42,3,432478,2,4,2,4,Potential Loyalists
U00317,2024-11-11 20:09:36,3,60796,49,3,2,2,Casual
U00318,2024-06-19 11:47:12,1,33902,194,1,1,1,Dormant
U00319,2024-01-13 12:53:49,2,11993,352,1,2,1,Dormant
U00320,2024-09-03 15:11:30,3,124675,118,2,2,3,Dormant
U00321,2024-11-17 09:01:58,3,80225,43,3,2,2,Casual
U00322,2024-12-23 22:37:31,5,330326,7,4,3,4,Champions
U00324,2024-11-12 17:27:11,2,148355,48,3,2,3,Casual
U00326,2024-12-06 12:44:35,4,162146,24,4,3,3,Champions
U00327,2024-04-07 14:33:59,2,23022,267,1,2,1,Dormant
U00328,2024-11-08 12:47:33,2,22851,52,3,2,1,Casual
U00329,2024-11-16 14:55:31,3,329385,44,3,2,4,Casual
U00330,2024-09-28 17:56:56,3,809358,93,2,2,4,Dormant
U00331,2024-03-18 11:06:46,1,7093,287,1,1,1,Dormant
U00332,2024-10-28 19:50:14,3,101153,63,3,2,2,Casual
U00333,2024-12-22 20:51:37,4,182685,8,4,3,3,Champions
U00335,2024-11-11 12:04:44,2,59823,49,3,2,2,Casual
U00337,2024-12-25 11:15:53,3,50487,5,4,2,2,Potential Loyalists
U00338,2024-09-23 21:57:36,4,280501,98,2,3,4,Can't Lose Them
U00339,2024-10-26 10:31:58,4,151671,65,3,3,3,Loyal Customers
U00340,2024-02-11 12:26:37,1,326078,323,1,1,4,Dormant
U00341,2024-11-08 17:16:09,1,18936,52,3,1,1,Casual
U00342,2024-11-27 14:37:03,5,139098,33,4,3,3,Champions
U00344,2024-12-29 22:23:50,5,226349,1,4,3,3,Champions
U00345,2024-04-13 17:01:18,2,65866,261,1,2,2,Dormant
U00346,2024-11-03 15:12:14,5,405494,57,3,3,4,Loyal Customers
U00347,2024-09-28 14:13:47,2,63594,93,2,2,2,Dormant
U00348,2024-09-30 20:14:03,1,23275,91,2,1,1,Dormant
U00350,2024-03-18 13:36:06,2,16689,287,1,2,1,Dormant
U00351,2024-10-16 18:55:42,4,68369,75,3,3,2,Loyal Customers
U00353,2024-10-22 22:00:59,4,305672,69,3,3,4,Loyal Customers
U00354,2024-12-08 11:14:59,2,14308,22,4,2,1,Potential Loyalists
U00355,2024-02-12 20:51:38,1,10053,322,1,1,1,Dormant
U00356,2024-02-02 19:52:01,1,142624,332,1,1,3,Dormant
U00357,2024-11-05 15:35:17,1,159462,55,3,1,3,Casual
U00358,2024-07-09 08:00:50,1,2769,174,1,1,1,Dormant
U00360,2024-08-17 10:15:52,2,17242,135,2,2,1,Dormant
U00361,2024-11-14 23:04:11,3,200578,46,3,2,3,Casual
U00362,2024-03-18 18:15:25,1,8117,287,1,1,1,Dormant
U00363,2024-12-23 19:59:25,5,525052,7,4,3,4,Champions
U00364,2024-10-09 19:22:30,5,501062,82,2,3,4,Can't Lose Them
U00365,2024-11-12 10:13:47,1,11290,48,3,1,1,Casual
U00366,2024-11-04 15:18:51,5,159696,56,3,3,3,Loyal Customers
U00367,2024-07-03 09:53:56,1,129122,180,1,1,3,Dormant
U00368,2024-06-23 23:17:09,1,15059,190,1,1,1,Dormant
U00369,2024-09-28 18:08:50,3,286876,93,2,2,4,Dormant
U00370,2024-09-29 08:27:39,3,256204,92,2,2,4,Dormant
U00371,2024-05-08 10:47:23,3,158364,236,1,2,3,Dormant
U00372,2024-02-01 21:38:44,1,161139,333,1,1,3,Dormant
U00373,2024-08-02 21:36:57,3,313033,150,2,2,4,Dormant
U00374,2024-10-18 13:18:04,3,20874,73,3,2,1,Casual
U00376,2024-11-11 22:09:10,2,306454,49,3,2,4,Casual
U00377,2024-11-01 16:25:06,1,67736,59,3,1,2,Casual
U00378,2024-12-06 09:25:12,6,83210,24,4,3,2,Champions
U00379,2024-09-24 19:35:03,5,349862,97,2,3,4,Can't Lose Them
U00380,2024-12-01 14:09:37,2,50714,29,4,2,2,Potential Loyalists
U00381,2024-11-09 20:42:18,1,9194,51,3,1,1,Casual
U00382,2024-05-04 12:31:44,2,12880,240,1,2,1,Dormant
U00383,2024-11-14 18:50:33,3,263040,46,3,2,4,Casual
U00384,2024-01-23 18:13:15,1,14736,342,1,1,1,Dormant
U00385,2024-08-14 15:09:48,2,234089,138,2,2,3,Dormant
U00386,2024-12-08 08:48:49,2,492960,22,4,2,4,Potential Loyalists
U00387,2024-12-16 23:17:13,5,145774,14,4,3,3,Champions
U00388,2024-10-07 14:13:28,2,177617,84,2,2,3,Dormant
U00389,2024-06-18 15:34:53,1,3518,195,1,1,1,Dormant
U00390,2024-02-13 17:58:11,1,93986,321,1,1,2,Dormant
U00391,2024-09-20 09:14:04,3,64798,101,2,2,2,Dormant
U00392,2024-05-04 18:14:10,1,4843,240,1,1,1,Dormant
U00393,2024-09-05 13:32:39,2,41884,116,2,2,2,Dormant
U00394,2024-11-13 14:01:00,3,128175,47,3,2,3,Casual
U00395,2024-08-29 21:56:23,2,40438,123,2,2,2,Dormant
U00396,2024-12-23 16:22:35,4,450854,7,4,3,4,Champions
U00397,2024-03-27 14:10:21,1,7735,278,1,1,1,Dormant
U00398,2024-11-10 11:43:12,3,185509,50,3,2,3,Casual
U00399,2024-11-07 08:23:38,5,425013,53,3,3,4,Loyal Customers
U00400,2024-11-11 12:51:31,3,219211,49,3,2,3,Casual
U00401,2024-03-22 21:34:47,1,195643,283,1,1,3,Dormant
U00402,2024-07-06 11:05:58,2,77438,177,1,2,2,Dormant
U00403,2024-05-14 10:55:17,3,313768,230,1,2,4,Dormant
U00406,2024-11-11 16:41:36,4,120880,49,3,3,3,Loyal Customers
U00408,2024-10-04 17:23:27,6,109575,87,2,3,2,At Risk
U00410,2024-09-29 20:05:14,1,38640,92,2,1,2,Dormant
U00411,2024-05-31 15:35:53,2,6201,213,1,2,1,Dormant
U00412,2024-10-03 10:58:10,2,60099,88,2,2,2,Dormant
U00413,2024-08-26 08:50:50,3,467682,126,2,2,4,Dormant
U00414,2024-11-09 13:15:07,1,22910,51,3,1,1,Casual
U00415,2024-03-03 18:35:06,1,6698,302,1,1,1,Dormant
U00416,2024-07-02 13:02:33,2,53253,181,1,2,2,Dormant
U00417,2024-05-10 18:56:41,2,134572,234,1,2,3,Dormant
U00418,2024-11-12 16:48:23,2,49980,48,3,2,2,Casual
U00419,2024-02-03 09:50:34,2,474424,331,1,2,4,Dormant
U00420,2024-10-07 21:03:55,2,273154,84,2,2,4,Dormant
U00421,2024-05-15 12:42:07,1,11403,229,1,1,1,Dormant
U00422,2024-12-26 22:49:13,3,110007,4,4,2,2,Potential Loyalists
U00423,2024-09-29 13:16:04,2,258127,92,2,2,4,Dormant
U00424,2024-03-24 08:21:05,1,5178,281,1,1,1,Dormant
U00425,2024-12-29 17:13:27,1,4051,1,4,1,1,New Customers
U00426,2024-01-25 09:52:25,1,404667,340,1,1,4,Dormant
U00427,2024-09-07 18:21:40,3,187136,114,2,2,3,Dormant
U00428,2024-11-13 14:59:19,3,329660,47,3,2,4,Casual
