user_id,gender,age_group,device_type,acquisition_channel,first_action_type,referral_generation,referred_by_user_id
U00134,M,20대,android,ad,sent,2,U00001
U00135,F,20대,android,search,sent,1,U00124
U00136,F,30대,android,ad,sent,0,
U00137,M,30대,ios,gift_received,received,0,
U00138,M,30대,android,ad,received,1,U00039
U00139,F,10대,android,gift_received,received,2,U00113
U00140,F,40대,ios,organic,received,2,U00020
U00141,F,50대+,ios,gift_received,received,1,U00085
U00142,M,40대,ios,ad,received,1,U00139
U00143,F,20대,android,search,received,3,U00112
U00144,M,40대,android,organic,sent,0,
U00145,F,20대,ios,ad,sent,1,U00106
U00146,F,40대,ios,organic,received,2,U00062
U00147,F,30대,ios,gift_received,received,1,U00003
U00148,M,30대,ios,gift_received,received,0,
U00149,M,50대+,ios,search,sent,1,U00078
U00150,F,30대,android,organic,received,1,U00076
U00151,F,40대,ios,organic,received,2,U00013
U00152,M,40대,android,search,sent,1,U00091
U00153,F,20대,ios,gift_received,received,1,U00036
U00154,M,40대,android,ad,received,1,U00034
U00155,F,20대,android,organic,sent,0,
U00156,M,30대,android,gift_received,received,0,
U00157,M,30대,android,gift_received,received,0,
U00158,F,50대+,ios,search,received,2,U00102
U00159,M,40대,ios,gift_received,received,0,
U00160,F,30대,android,gift_received,received,1,U00096
U00161,F,20대,ios,gift_received,received,1,U00157
U00162,F,20대,android,search,sent,0,
U00163,F,50대+,ios,ad,received,0,
U00164,F,30대,android,gift_received,received,2,U00108
U00165,F,40대,android,gift_received,received,2,U00158
U00166,F,50대+,ios,ad,received,1,U00093
U00167,F,30대,android,search,sent,1,U00049
U00168,M,50대+,android,organic,received,0,
U00169,M,10대,ios,search,sent,1,U00142
U00170,F,20대,android,ad,received,0,
U00171,F,40대,ios,organic,sent,0,
U00172,M,10대,ios,gift_received,received,0,
U00173,F,20대,ios,gift_received,received,1,U00017
U00174,F,40대,android,organic,received,1,U00012
U00175,M,40대,android,ad,sent,1,U00123
U00176,M,30대,ios,gift_received,received,1,U00021
U00177,F,20대,ios,gift_received,received,1,U00084
U00178,F,30대,ios,gift_received,received,1,U00030
U00179,M,30대,android,gift_received,received,0,
U00180,F,20대,ios,ad,sent,1,U00110
U00181,F,20대,android,gift_received,received,1,U00024
U00182,M,20대,ios,gift_received,received,2,U00143
U00183,F,50대+,android,gift_received,received,1,U00171
U00184,M,30대,android,organic,sent,0,
U00185,F,30대,ios,ad,sent,2,U00143
U00186,F,40대,android,gift_received,received,2,U00160
U00187,F,30대,ios,search,sent,2,U00047
U00188,F,40대,android,ad,sent,0,
U00189,M,20대,android,search,sent,0,
U00190,F,30대,ios,ad,received,0,
U00191,F,40대,ios,gift_received,received,0,
U00192,F,30대,ios,gift_received,received,1,U00056
U00193,M,20대,ios,organic,sent,1,U00171
U00194,F,20대,android,organic,received,0,
U00195,M,40대,ios,organic,sent,1,U00034
U00196,F,30대,android,gift_received,received,2,U00019
U00197,F,40대,ios,ad,sent,0,
U00198,F,30대,android,organic,received,1,U00044
U00199,M,30대,android,search,received,0,
U00200,F,30대,android,ad,sent,0,
U00201,F,20대,android,organic,received,1,U00090
U00202,F,50대+,android,organic,sent,0,
U00203,F,20대,android,organic,received,2,U00119
U00204,M,40대,ios,search,received,1,U00160
U00205,F,50대+,ios,ad,received,1,U00204
U00206,F,10대,android,ad,sent,1,U00074
U00207,F,40대,android,gift_received,received,1,U00119
U00208,F,50대+,android,organic,received,2,U00049
U00209,F,30대,ios,organic,received,0,
U00210,F,30대,android,organic,sent,0,
U00211,F,30대,ios,ad,sent,0,
U00212,F,30대,android,gift_received,received,0,
U00213,F,30대,ios,gift_received,received,1,U00155
U00214,M,20대,android,organic,received,0,
U00215,M,30대,android,search,sent,0,
U00216,M,40대,android,gift_received,received,1,U00176
U00217,M,20대,android,gift_received,received,0,
U00218,F,50대+,ios,gift_received,received,0,
U00219,M,20대,ios,gift_received,received,1,U00139
U00220,M,40대,ios,ad,sent,1,U00097
U00221,F,20대,android,gift_received,received,2,U00185
U00222,F,30대,android,organic,sent,1,U00192
U00223,M,20대,ios,search,received,1,U00050
U00224,F,50대+,android,ad,sent,0,
U00225,F,50대+,android,gift_received,received,0,
U00226,F,30대,android,gift_received,received,0,
U00227,M,40대,ios,gift_received,received,0,
U00228,M,20대,ios,search,sent,0,
U00229,F,10대,ios,gift_received,received,0,
U00230,M,30대,ios,search,received,2,U00203
U00231,F,10대,android,ad,received,2,U00121
U00232,F,10대,ios,organic,sent,2,U00187
U00233,F,30대,android,organic,sent,0,
U00234,M,30대,ios,gift_received,received,1,U00138
U00235,F,30대,ios,organic,received,1,U00062
U00236,F,20대,android,gift_received,received,1,U00135
U00237,F,40대,android,organic,sent,2,U00100
U00238,M,20대,ios,gift_received,received,0,
U00239,M,30대,android,gift_received,received,0,
U00240,F,30대,android,organic,sent,1,U00179
U00241,F,20대,ios,gift_received,received,2,U00010
U00242,F,10대,ios,organic,sent,2,U00209
U00243,F,20대,android,organic,received,1,U00222
U00244,M,20대,android,ad,sent,1,U00099
U00245,F,20대,android,ad,sent,1,U00022
U00246,M,20대,android,gift_received,received,1,U00083
U00247,F,20대,ios,ad,sent,1,U00114
U00248,F,10대,android,ad,sent,3,U00203
U00249,M,20대,android,ad,received,2,U00244
U00250,F,40대,android,ad,sent,0,
U00251,M,30대,android,organic,sent,0,
U00252,F,30대,ios,organic,sent,1,U00072
U00253,F,20대,android,ad,received,1,U00068
U00254,M,30대,ios,gift_received,received,1,U00126
U00255,F,20대,ios,organic,received,1,U00208
U00256,M,40대,ios,ad,sent,0,
U00257,M,40대,android,search,received,1,U00115
U00258,F,20대,ios,gift_received,received,0,
U00259,F,30대,android,gift_received,received,1,U00045
U00260,F,30대,android,ad,sent,1,U00038
U00261,F,20대,ios,ad,sent,1,U00094
U00262,M,20대,android,gift_received,received,2,U00079
U00263,F,20대,android,organic,sent,2,U00146
U00264,M,20대,android,gift_received,received,0,
U00265,F,30대,android,organic,sent,2,U00173
U00266,M,30대,android,organic,received,0,
U00267,F,30대,android,ad,sent,1,U00149
U00268,M,20대,ios,gift_received,received,1,U00233
U00269,F,10대,ios,ad,received,0,
U00270,F,30대,android,gift_received,received,3,U00067
U00271,M,30대,ios,organic,sent,0,
U00272,F,10대,android,gift_received,received,1,U00082
U00273,M,40대,android,organic,received,0,
U00274,F,40대,android,organic,sent,1,U00124
U00275,F,30대,ios,ad,received,2,U00241
U00276,F,10대,ios,organic,sent,0,
U00277,F,10대,ios,gift_received,received,1,U00148
U00278,F,30대,android,organic,received,3,U00061
U00279,F,20대,ios,search,sent,1,U00074
U00280,F,30대,android,organic,sent,0,
U00281,F,30대,android,gift_received,received,0,
U00282,F,20대,android,gift_received,received,0,
U00283,F,40대,android,gift_received,received,0,
U00284,M,30대,android,search,received,1,U00014
U00285,F,20대,android,search,sent,1,U00027
U00286,F,20대,android,gift_received,received,2,U00076
U00287,M,20대,android,gift_received,received,0,
U00288,F,30대,ios,organic,received,1,U00242
U00289,M,40대,ios,organic,sent,0,
U00290,M,30대,ios,organic,sent,2,U00182
U00291,M,40대,android,gift_received,received,0,
U00292,F,50대+,ios,organic,received,2,U00148
U00293,M,30대,android,ad,received,1,U00141
U00294,F,30대,android,gift_received,received,1,U00177
U00295,M,40대,ios,organic,sent,1,U00227
U00296,M,40대,ios,gift_received,received,0,
U00297,F,20대,ios,gift_received,received,0,
U00298,F,40대,ios,organic,sent,0,
U00299,F,30대,ios,search,sent,3,U00244
U00300,F,20대,android,ad,received,1,U00046
U00301,M,20대,android,gift_received,received,0,
U00302,M,30대,android,search,received,0,
U00303,M,20대,android,gift_received,received,0,
U00304,F,20대,android,search,sent,0,
U00305,M,30대,android,organic,sent,1,U00058
U00306,F,40대,android,gift_received,received,0,
U00307,F,20대,android,organic,received,1,U00208
U00308,M,30대,ios,gift_received,received,0,
U00309,F,20대,ios,organic,received,0,
U00310,M,20대,android,organic,received,1,U00032
U00311,M,30대,ios,gift_received,received,2,U00160
U00312,M,30대,android,ad,received,0,
U00313,F,30대,android,ad,received,1,U00276
U00314,M,40대,android,gift_received,received,1,U00042
U00315,F,30대,ios,search,received,0,
U00316,M,20대,android,organic,sent,2,U00106
U00317,M,30대,android,ad,sent,0,
U00318,F,30대,android,gift_received,received,0,
U00319,F,20대,ios,organic,sent,0,
U00320,M,30대,ios,gift_received,received,3,U00242
U00321,F,30대,android,gift_received,received,3,U00216
U00322,F,40대,ios,search,sent,1,U00277
U00323,F,40대,ios,search,sent,1,U00115
U00324,M,40대,android,ad,sent,1,U00195
U00325,M,20대,ios,organic,received,2,U00058
U00326,F,30대,android,search,sent,2,U00035
U00327,F,10대,android,gift_received,received,0,
U00328,M,30대,ios,organic,sent,2,U00258
U00329,M,20대,android,gift_received,received,1,U00165
U00330,F,40대,android,gift_received,received,1,U00141
U00331,F,50대+,android,search,sent,1,U00254
U00332,F,30대,android,ad,received,1,U00210
U00333,F,30대,android,ad,sent,2,U00074
U00334,M,40대,android,search,sent,1,U00125
U00335,F,20대,ios,ad,sent,1,U00098
U00336,F,30대,android,organic,received,0,
U00337,F,30대,ios,organic,sent,2,U00008
U00338,F,20대,android,gift_received,received,1,U00125
U00339,M,30대,ios,organic,sent,0,
U00340,F,30대,ios,ad,sent,2,U00241
U00341,M,20대,ios,ad,received,0,
U00342,M,10대,android,gift_received,received,1,U00152
U00343,F,20대,ios,gift_received,received,1,U00336
U00344,M,20대,android,ad,received,1,U00236
U00345,F,40대,ios,gift_received,received,1,U00278
U00346,M,50대+,android,gift_received,received,0,
U00347,M,10대,ios,organic,sent,1,U00078
U00348,F,30대,ios,gift_received,received,1,U00316
U00349,M,30대,ios,gift_received,received,1,U00009
U00350,F,20대,android,organic,received,2,U00092
U00351,F,20대,ios,organic,received,1,U00137
U00352,M,20대,android,ad,received,0,
U00353,F,40대,ios,search,sent,1,U00208
U00354,F,30대,ios,organic,sent,0,
U00355,F,40대,android,gift_received,received,0,
U00356,F,10대,ios,gift_received,received,2,U00244
U00357,F,40대,android,organic,received,1,U00092
U00358,M,20대,android,gift_received,received,1,U00204
U00359,M,20대,android,gift_received,received,2,U00347
U00360,M,20대,android,organic,received,3,U00257
U00361,M,30대,ios,organic,received,0,
U00362,F,30대,android,ad,received,1,U00231
U00363,F,30대,android,ad,received,1,U00044
U00364,M,20대,ios,organic,sent,0,
U00365,M,20대,ios,ad,received,0,
U00366,F,40대,ios,organic,received,1,U00263
U00367,F,10대,ios,organic,sent,1,U00198
U00368,F,30대,android,gift_received,received,1,U00125
U00369,F,20대,ios,organic,sent,0,
U00370,F,30대,ios,ad,sent,0,
U00371,F,30대,android,organic,sent,0,
U00372,M,20대,android,gift_received,received,0,
U00373,F,40대,android,search,sent,0,
U00374,M,20대,ios,search,sent,2,U00356
U00375,M,50대+,android,ad,received,0,
U00376,F,40대,ios,search,received,0,
U00377,F,40대,android,organic,received,1,U00036
U00378,M,40대,ios,ad,sent,1,U00338
U00379,F,30대,ios,ad,received,1,U00274
U00380,F,40대,android,gift_received,received,1,U00185
U00381,M,40대,android,search,sent,0,
U00382,M,20대,android,gift_received,received,1,U00332
U00383,F,40대,android,ad,sent,0,
U00384,F,30대,android,gift_received,received,1,U00201
U00385,F,30대,android,organic,sent,3,U00152
U00386,F,50대+,ios,search,sent,0,
U00387,F,20대,android,ad,received,1,U00164
U00388,F,10대,android,organic,sent,0,
U00389,M,40대,android,gift_received,received,1,U00170
U00390,F,50대+,ios,ad,received,0,
U00391,F,10대,android,organic,sent,1,U00361
U00392,F,20대,android,gift_received,received,1,U00275
U00393,F,20대,ios,organic,sent,2,U00328
U00394,F,30대,ios,organic,sent,1,U00089
U00395,M,30대,ios,gift_received,received,0,
U00396,F,20대,ios,organic,sent,1,U00215
U00397,F,30대,ios,ad,received,1,U00089
U00398,F,30대,ios,ad,sent,1,U00184
U00399,M,30대,ios,ad,received,1,U00210
U00400,M,30대,android,ad,sent,0,
U00401,M,20대,ios,gift_received,received,0,
U00402,F,40대,android,gift_received,received,0,
U00403,F,40대,android,ad,sent,2,U00369
U00404,F,20대,ios,gift_received,received,1,U00127
U00405,F,50대+,ios,ad,sent,2,U00061
U00406,M,20대,android,gift_received,received,1,U00364
U00407,F,30대,android,gift_received,received,2,U00031
U00408,F,30대,android,organic,sent,3,U00294
U00409,F,40대,android,gift_received,received,0,
U00410,M,40대,android,search,sent,2,U00068
U00411,F,30대,android,gift_received,received,1,U00251
U00412,F,30대,android,ad,received,0,
U00413,M,30대,android,gift_received,received,2,U00233
U00414,M,20대,ios,gift_received,received,1,U00375
U00415,M,30대,android,gift_received,received,1,U00204
U00416,F,30대,ios,organic,sent,2,U00296
U00417,F,40대,android,gift_received,received,1,U00024
U00418,F,40대,ios,organic,sent,2,U00001
U00419,M,30대,android,search,sent,2,U00141
U00420,F,30대,ios,gift_received,received,1,U00027
U00421,F,20대,android,organic,received,1,U00001
U00422,F,20대,android,gift_received,received,1,U00005
U00423,M,40대,android,ad,sent,0,
U00424,F,40대,ios,ad,sent,2,U00397
U00425,M,40대,android,gift_received,received,0,
U00426,F,30대,ios,ad,received,0,
U00427,M,30대,ios,organic,sent,2,U00064
U00428,F,30대,android,ad,sent,0,
U00429,F,30대,android,gift_received,received,1,U00354
U00430,F,40대,android,organic,sent,1,U00201
U00431,F,10대,android,search,sent,1,U00256
U00432,M,20대,android,organic,sent,1,U00199
U00433,M,30대,ios,gift_received,received,1,U00395
U00434,F,30대,ios,organic,received,2,U00204
U00435,F,30대,android,ad,sent,1,U00275
U00436,F,20대,ios,organic,received,2,U00080
U00437,F,30대,android,gift_received,received,1,U00034
U00438,F,30대,android,organic,received,0,
U00439,F,30대,ios,gift_received,received,1,U00090
U00440,F,30대,android,organic,sent,2,U00401
U00441,M,20대,ios,gift_received,received,2,U00376
U00442,M,40대,ios,gift_received,received,0,
U00443,F,30대,android,organic,sent,1,U00256
U00444,M,20대,ios,gift_received,received,2,U00346
U00445,M,20대,android,organic,sent,2,U00242
U00446,F,40대,ios,search,received,0,
U00447,M,30대,ios,organic,sent,2,U00423
U00448,F,30대,android,search,received,0,
U00449,M,50대+,ios,ad,received,0,
U00450,F,30대,ios,organic,sent,1,U00319
U00451,F,30대,android,search,received,1,U00280
U00452,M,20대,ios,ad,sent,0,
U00453,M,40대,android,organic,received,1,U00373
U00454,F,20대,android,ad,received,2,U00073
U00455,M,20대,android,gift_received,received,1,U00359
U00456,M,30대,android,gift_received,received,1,U00327
U00457,M,20대,android,ad,sent,2,U00134
U00458,M,40대,ios,gift_received,received,0,
U00459,F,20대,android,organic,sent,1,U00055
U00460,F,30대,ios,gift_received,received,2,U00107
U00461,F,30대,android,organic,sent,2,U00361
U00462,M,10대,android,ad,sent,0,
U00463,F,30대,android,organic,sent,3,U00208
U00464,M,30대,android,organic,received,0,
U00465,F,20대,android,organic,sent,0,
U00466,M,40대,ios,gift_received,received,2,U00039
U00467,F,20대,android,ad,received,0,
U00468,M,20대,ios,ad,received,0,
U00469,M,30대,ios,gift_received,received,0,
U00470,F,20대,ios,gift_received,received,0,
U00471,F,20대,ios,ad,sent,1,U00144
U00472,F,30대,android,gift_received,received,0,
U00473,M,30대,ios,ad,sent,1,U00401
U00474,F,40대,android,ad,sent,0,
U00475,F,40대,android,organic,sent,3,U00393
U00476,F,20대,ios,organic,sent,0,
U00477,M,40대,android,search,received,1,U00199
U00478,F,40대,android,organic,received,1,U00358
U00479,F,30대,android,ad,sent,1,U00097
U00480,M,40대,android,gift_received,received,0,
U00481,F,10대,android,organic,sent,1,U00315
U00482,F,20대,android,search,sent,2,U00012
U00483,F,30대,ios,organic,sent,1,U00038
U00484,F,50대+,ios,organic,sent,0,
U00485,F,50대+,android,search,sent,1,U00288
U00486,M,40대,android,organic,sent,1,U00158
U00487,M,20대,ios,organic,received,1,U00436
U00488,M,50대+,ios,gift_received,received,2,U00314
U00489,F,30대,android,organic,sent,1,U00164
U00490,F,40대,ios,gift_received,received,1,U00454
U00491,F,10대,ios,gift_received,received,1,U00403
U00492,F,10대,ios,gift_received,received,2,U00453
U00493,F,40대,ios,ad,received,2,U00296
U00494,M,30대,ios,organic,sent,2,U00164
U00495,F,20대,ios,gift_received,received,0,
U00496,F,50대+,android,ad,received,3,U00361
U00497,F,50대+,ios,gift_received,received,0,
U00498,F,20대,ios,gift_received,received,1,U00374
U00499,F,30대,ios,organic,sent,1,U00252
U00500,F,30대,ios,organic,received,1,U00103
U00501,F,20대,android,search,sent,1,U00402
U00502,F,30대,android,organic,sent,1,U00454
U00503,F,20대,ios,ad,received,0,
U00504,F,20대,android,organic,received,1,U00212
U00505,M,30대,android,gift_received,received,2,U00215
U00506,M,30대,android,gift_received,received,0,
U00507,F,30대,android,organic,sent,1,U00293
U00508,M,30대,ios,gift_received,received,0,
U00509,M,50대+,android,organic,received,1,U00223
U00510,F,40대,ios,gift_received,received,0,
U00511,M,40대,ios,gift_received,received,1,U00439
U00512,F,30대,android,gift_received,received,1,U00268
U00513,M,20대,ios,gift_received,received,1,U00103
U00514,M,30대,ios,organic,sent,1,U00421
U00515,F,30대,android,ad,sent,0,
U00516,F,30대,ios,ad,received,2,U00051
U00517,M,40대,android,organic,sent,2,U00288
U00518,M,40대,android,search,sent,0,
U00519,M,40대,ios,gift_received,received,1,U00092
U00520,F,20대,android,gift_received,received,1,U00383
U00521,M,30대,ios,ad,sent,1,U00030
U00522,F,40대,ios,organic,sent,0,
U00523,F,20대,ios,ad,received,1,U00032
U00524,F,30대,ios,search,received,1,U00353
U00525,F,40대,android,gift_received,received,0,
U00526,F,20대,android,search,received,2,U00212
U00527,F,30대,ios,gift_received,received,1,U00010
U00528,F,20대,ios,gift_received,received,0,
U00529,F,50대+,android,gift_received,received,0,
U00530,M,40대,ios,organic,sent,0,
U00531,M,30대,ios,search,received,2,U00290
U00532,F,20대,ios,search,received,1,U00268
U00533,M,50대+,android,organic,sent,1,U00059
U00534,M,40대,android,gift_received,received,1,U00027
U00535,M,50대+,ios,ad,sent,1,U00195
U00536,F,30대,android,gift_received,received,1,U00368
U00537,F,40대,android,gift_received,received,0,
U00538,F,20대,ios,gift_received,received,1,U00188
U00539,M,40대,android,organic,received,0,
U00540,F,40대,ios,gift_received,received,1,U00121
U00541,F,40대,android,search,received,0,
U00542,F,40대,ios,organic,received,0,
U00543,F,20대,ios,gift_received,received,2,U00469
U00544,F,40대,ios,organic,received,0,
U00545,F,10대,ios,organic,received,1,U00163
U00546,F,40대,ios,gift_received,received,1,U00414
U00547,F,30대,ios,gift_received,received,1,U00015
U00548,M,40대,android,organic,received,0,
U00549,F,40대,ios,organic,sent,1,U00067
U00550,M,20대,ios,gift_received,received,1,U00346
U00551,F,30대,ios,search,received,1,U00169
U00552,M,40대,ios,organic,sent,1,U00023
U00553,F,20대,ios,gift_received,received,0,
U00554,M,20대,android,organic,received,3,U00021
U00555,F,20대,ios,organic,received,0,
U00556,F,30대,ios,ad,sent,0,
U00557,M,30대,ios,gift_received,received,1,U00121
U00558,F,40대,android,gift_received,received,1,U00536
U00559,M,30대,ios,organic,received,1,U00493
U00560,F,10대,android,search,received,2,U00153
U00561,M,40대,ios,gift_received,received,2,U00237
U00562,F,50대+,ios,organic,received,2,U00298
U00563,F,30대,ios,organic,received,2,U00010
U00564,M,30대,ios,ad,received,1,U00096
U00565,F,30대,ios,ad,received,1,U00490
U00566,M,30대,android,organic,sent,1,U00164
U00567,F,40대,android,gift_received,received,1,U00389
U00568,M,30대,android,gift_received,received,1,U00134
U00569,F,30대,android,ad,received,0,
U00570,F,40대,android,gift_received,received,1,U00230
U00571,M,30대,ios,gift_received,received,1,U00098
U00572,F,40대,android,gift_received,received,1,U00153
U00573,M,30대,android,organic,sent,1,U00481
U00574,M,40대,ios,ad,received,0,
U00575,F,20대,android,ad,sent,0,
U00576,M,30대,android,ad,sent,0,
U00577,M,20대,ios,gift_received,received,0,
U00578,F,30대,android,ad,sent,1,U00468
U00579,M,30대,ios,organic,received,1,U00485
U00580,M,30대,ios,organic,sent,1,U00364
U00581,M,50대+,ios,gift_received,received,1,U00047
U00582,M,30대,android,gift_received,received,1,U00261
U00583,F,20대,android,ad,received,1,U00347
U00584,F,30대,android,gift_received,received,1,U00462
U00585,F,30대,android,search,received,0,
U00586,F,30대,android,search,received,1,U00178
U00587,M,20대,ios,gift_received,received,2,U00517
U00588,M,30대,android,gift_received,received,0,
U00589,F,30대,ios,gift_received,received,0,
U00590,F,40대,android,gift_received,received,1,U00322
U00591,M,40대,android,organic,sent,1,U00354
U00592,M,20대,android,search,sent,0,
U00593,M,30대,android,gift_received,received,1,U00428
U00594,M,40대,android,gift_received,received,1,U00014
U00595,F,10대,ios,gift_received,received,0,
U00596,M,20대,ios,organic,received,2,U00303
U00597,F,30대,ios,ad,received,1,U00576
U00598,M,40대,android,organic,received,1,U00295
U00599,M,10대,ios,ad,received,1,U00566
U00600,F,40대,ios,gift_received,received,2,U00454
U00601,M,40대,android,gift_received,received,1,U00560
U00602,M,20대,android,organic,received,1,U00077
U00603,F,20대,android,ad,received,1,U00134
U00604,F,40대,ios,ad,sent,2,U00331
U00605,F,40대,android,gift_received,received,0,
U00606,M,30대,ios,gift_received,received,1,U00189
U00607,F,40대,ios,gift_received,received,1,U00358
U00608,F,20대,ios,ad,received,0,
U00609,F,50대+,android,search,received,0,
U00610,F,40대,android,gift_received,received,2,U00329
U00611,F,40대,ios,organic,sent,1,U00530
U00612,M,30대,android,ad,received,0,
U00613,F,30대,android,organic,sent,2,U00008
U00614,M,20대,android,organic,received,1,U00211
U00615,F,30대,android,gift_received,received,1,U00074
U00616,M,20대,ios,ad,sent,0,
