campaign_id,campaign_name,channel,target_segment,occasion_category,occasion_subcategory,gift_occasion,message_type,message_variation,send_date,target_user_count
CMP067,2024_02_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-02-15,1538
CMP068,2024_02_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-02-15,1291
CMP069,2024_04_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-04-15,2932
CMP070,2024_04_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-04-15,1001
CMP071,2024_04_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-04-15,1731
CMP072,2024_04_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-04-15,1935
CMP073,2024_06_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-06-15,1339
CMP074,2024_06_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-06-15,1160
CMP075,2024_06_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-06-15,2978
CMP076,2024_06_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-06-15,1383
CMP077,2024_08_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-08-15,2661
CMP078,2024_08_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-08-15,1237
CMP079,2024_08_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-08-15,2195
CMP080,2024_08_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-08-15,1048
CMP081,2024_10_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-10-15,2443
CMP082,2024_10_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-10-15,2478
CMP083,2024_10_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-10-15,1076
CMP084,2024_10_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-10-15,2332
CMP085,2024_12_birthday_curation_A,in_app_message,loyal_customers,daily,personal,birthday,curation,A,2024-12-15,2124
CMP086,2024_12_birthday_ranking_B,in_app_message,loyal_customers,daily,personal,birthday,ranking,B,2024-12-15,1847
CMP087,2024_12_at_risk_discount_A,friendtalk,at_risk,daily,social,daily_cheer,discount,A,2024-12-15,2036
CMP088,2024_12_at_risk_curation_B,friendtalk,at_risk,daily,social,daily_cheer,curation,B,2024-12-15,2479
